127.0.0.1 - - [25/Mar/2020:21:04:39 -0400] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:04:50 -0400] "GET /jupiter HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:04:50 -0400] "GET /jupiter/ HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:04:51 -0400] "GET /jupiter/styles/main.css HTTP/1.1" 200 4555
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:04:51 -0400] "GET /jupiter/scripts/main.js HTTP/1.1" 200 16271
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:04:51 -0400] "GET /jupiter/scripts/utils.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:04:51 -0400] "GET /jupiter/scripts/apis.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:04:51 -0400] "GET /jupiter/scripts/apis.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:04:51 -0400] "GET /jupiter/scripts/utils.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:04:51 -0400] "GET /jupiter/login HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:05:02 -0400] "POST /jupiter/login HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:05:10 -0400] "GET /jupiter/search?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 200 3363
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:05:17 -0400] "GET /jupiter/recommendation?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:05:22 -0400] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:05:23 -0400] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:05:26 -0400] "GET /jupiter/search?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 200 3363
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:05:29 -0400] "GET /jupiter/search?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 200 3363
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:05:30 -0400] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:05:31 -0400] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:07:48 -0400] "GET /jupiter/recommendation?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:07:53 -0400] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:07:59 -0400] "GET /jupiter/recommendation?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:10:46 -0400] "GET /jupiter/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:10:46 -0400] "GET /jupiter/scripts/apis.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:10:46 -0400] "GET /jupiter/scripts/utils.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:10:46 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:10:47 -0400] "GET /jupiter/login HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:10:53 -0400] "GET /jupiter/search?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:11:01 -0400] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:11:10 -0400] "GET /jupiter/recommendation?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 200 1008
